review_id,actual_stars,predicted_stars,json_valid
hwYVJs8Ko4PMjI19QcR57g,4,4,True
0mvthYPKb2ZmKhCADiKSmQ,5,5,True
XJHknNIecha6h0wkBSZB4w,3,4,True
z6y3GRpYDqTznVe-0dn--Q,1,1,True
vhWHdemMvsqVNv5zi2OMiA,5,5,True
dg1Sw8sihJCUKGiQ7Yl_tg,4,4,True
ZQ2S7QL9ubt_zZdcE4Kz9Q,4,5,True
DFBb_9IR5sc0sCsi7Hhn5w,4,5,True
7ZrirtO2rOCR8aHNIU6SfA,5,5,True
XFVJstX3gRXv3Bhitzk9rA,1,1,True
xWAvESbLyNmdpdvK32zz5g,4,5,True
yPNKoTo0W2j-6CxfONssLg,5,5,True
gvdxUyeULOzj8irBHwzhdA,3,5,True
1FLzfSSQMNekqAaMC0jyOA,4,4,True
FcIL0kPumNkm-ks908FX8A,5,5,True
72RLVL7ulxXkh-Sv01l73w,2,3,True
5rzUPtAk7rR5EK8x_WszwA,4,3,True
TNjJ7gjtr7gjJ_LQDrCUIw,4,4,True
cBuGiqccc8mE8x6f_JidHg,5,5,True
SkO0tzjC5Xyt4ZzMC9XS9w,5,4,True
b01QqdMpIIaeEnMs_g92pQ,5,5,True
sEpffpL6SPsu4vUlI9la1g,5,5,True
BvFYrSSJRDqJwSbVyQhPVw,1,1,True
psMnrkshrBBbqk-2SxX5og,4,4,True
uMQ4juin9OVWjvOnLn--NA,4,5,True
930PX8SNo5zxtlcJOio4ig,4,5,True
SMTjk42KnUfJn1vLh8Y_eA,1,2,True
VqDKlhAtDIRjxQdwvqusBQ,4,4,True
enO2RiutNuor8px7AmK81Q,2,3,True
swAgg95rDJ6I2SLOGkTZdA,2,2,True
-Ieb92HyWYckqlJTAuf_GA,1,1,True
SYK_LgV8wDoezdu9acfz2w,1,1,True
eofH2KzzXNe7wzNINgDwoQ,3,4,True
PuLN4Y3O8L3OazUDu7Iu4g,4,5,True
yibnwtn5mEDj1vauF3xJNg,5,5,True
oGlJr_FFBA4zBiVNSxAEBg,5,5,True
fhOMHh5NMiODyz96lroADQ,5,5,True
c15oWoC-EERMpE7iCmAcwQ,5,4,True
E7Xh3l0VZmyajWDZdBW6MQ,4,4,True
vYZ9-sw5LsoB0a8flqkL4A,2,1,True
i-1Uh8jR_xtJk2kPOt4BGA,3,2,True
ApKbwpYJdnhhgP4NbjQw2Q,1,1,True
Xzx04tG4ndBxM3YSsdfHmQ,1,2,True
6b5sifuzXWw0cMd_8c9how,3,1,True
7Fy7r6k7pf7m0euNtwAykg,4,5,True
1fRGR6XTTElRBZW_oDrpUA,4,5,True
-Seq69RSaEX7Iu02laCqjg,4,5,True
39ICyKwEw4TYd9ZuQaAgAA,5,5,True
mSaa0X25WDBQYj5faxX1zw,4,5,True
TjRguiiYR-pZZJ_F_SAE7A,1,1,True
m5Q6NkcyibtTHpCrS3DvGw,1,1,True
RFtI9BfEPyqmEFqsojVqyA,3,3,True
xRW_1aHFX_8NZ1Zo5CLAwA,4,5,True
etX1xc1ewwvl9cQB_8Q7BA,4,4,True
iAMyylgz85tvjOjYQXPa6w,4,4,True
TM0OXCu8Yk6H-Rb0BU0ERg,3,3,True
lzSjJafXh1eGE0yaYJQkuw,5,5,True
xVcX2Oy8d0V30VOAj7AC5Q,5,5,True
_dJQfEtgn9A1OOHEgDNmvg,5,5,True
DcMPVUltzJd9Py9BK7VrvQ,1,2,True
2AqetcqrCB8wINZEMGUPNw,2,1,True
xJcCUTWuvqzUOk3qd1moNg,2,2,True
NSVZ5tKuCxMx3zbUe60hIg,4,4,True
